,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
983,RAIZ23,RAIZEN S.A. (*),15/09/2039,"IPCA + 6,4794%","8,239","7,8338","8,0365","0,0463","7,9903","8,0829","923,310784","87,9807","2185,27",,15/08/2040
984,RALM11,RIALMA TRANSMISSORA DE ENERGIA V S/A (*),15/12/2048,"IPCA + 7,8293%","8,0591","7,7586","7,9071","0,0429","7,8642","7,9501","1107,998958","99,3214","2376,24",50.0,15/08/2040
985,RALM21,RIALMA TRANSMISSORA DE ENERGIA V S/A (*),15/12/2048,"IPCA + 7,8293%","8,0595","7,7686","7,9195","0,0302","7,8894","7,9498","1033,961667","99,2139","2375,36",,15/08/2040
986,RATL11,CONCESSIONARIA ROTA DO ATLANTICO S.A (*),15/12/2036,"IPCA + 7,1717%","7,599","7,3051","7,5093","0,0841","7,4252","7,5935","1179,405729","98,2439","1415,01",,15/08/2032
987,RDOE18,CONCESSIONÁRIA DO RODOANEL OESTE S/A (*),15/04/2031,"IPCA + 5,95%","7,1439","6,8693","6,9657","0,1499","6,8158","7,1158","1053,114964","96,328","985,66",,15/08/2030
988,RDVE11,RDVE SUBHOLDING S.A. (*),15/04/2038,"IPCA + 7,0421%","7,5601","7,2612","7,3876","0,1301","7,2576","7,5178","1176,157141","98,481","1191,81",35.0,15/08/2030
989,RECV11,PETRORECONCAVO S.A. (*),15/05/2031,"IPCA + 7,3249%","8,2956","7,8332","8,0583","0,1057","7,9527","8,1641","1058,609161","97,3906","976,45",5.0,15/08/2030
990,RENTD1,LOCALIZA RENT A CAR (*),15/12/2031,"IPCA + 8,867%",--,--,"9,193","0,1159","9,0771","9,3091","1080,846512","98,1637",1562,,15/05/2033
991,RESA14,RAIZEN ENERGIA S/A,15/11/2029,"IPCA + 3,539%","9,0566","8,601","8,8218","0,0754","8,7465","8,8973","1245,250195","86,55","725,08",,15/08/2028
992,RESA15,RAIZEN ENERGIA S/A,15/06/2030,"IPCA + 5,8%","8,8668","8,3756","8,612","0,0769","8,5351","8,689","1284,221269","91,6761","830,54",,15/05/2029
993,RESA17,RAIZEN ENERGIA S/A (*) (**),15/03/2029,"IPCA + 5,9219%","8,8478","8,4059","8,6195","0,0657","8,5539","8,6853","1106,311897","92,4303","786,63",,15/05/2029
